"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based?","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/07/07 9:09:47 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Louisiana","Urban/City Center;Suburban","Mostly Residential","0","","100%","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","2","Remained Stable","3","Vehicle Maintenance & Repair;Route Optimization","51 to 75","Remained Stable","6 to 15","0","1 to 2","0","2","2","2","Don't Know","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","","","","","","",""
"2024/07/08 7:26:44 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","New York","Rural","Mostly Residential","1","2024-03-09","90% to 99%","2","Remained Stable","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Equipment Reliability","51 to 75","Remained Stable","6 to 15","1 to 3","1 to 2","1 to 2","3","2","1","More Pessimistic","About the Same","More Pessimistic","5","4","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Increase","","2 years accident free! ","Increased Revenue to help offset higher costs ","Fedex 1 merger could be a huge change operationally to overcome. ","Nominated for Entrepreneur of the year in 2023, invited to Gold Event, and Executive Tour Events in past year as well. ","It's a 24/7 business and takes a lot of hard work to squeak out a profit! ",""
"2024/07/09 1:31:42 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Colorado","Urban/City Center;Suburban;Rural","Mostly Residential","0","2010-04-10","100%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Quality of Vendor Services","76 to 100","Remained Stable","16 to 30","1 to 3","1 to 2","1 to 2","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Overhead Costs","Reducing","Increase","Discrimination - Sexual harassment - went to court - got a permanent restraining order ","None","Transparency ","Who knows ","Hahahahahahahahaha!!! There is none - it’s a horrible environment, demeaning culture, they hang you out to dry, are racists, discriminatory,   Amongst other things.","Corporate greed will put you out of business ",""
"2024/07/09 5:22:17 AM EST","FedEx Ground","Residential Pickup and Delivery","New Hampshire","Suburban;Rural","Mostly Residential","2","2020-05-30","90% to 99%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability","16 to 30","Expanded","31 to 50","0","3 to 5","1 to 2","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Overhead Costs","Reducing","Remain the same","Maintenance and IC’s have drastically increased ","Gold ISP","Fair negotiations ","Lack of true negotiation ","Weekly meetings with constant threats of LOA or OTC’s is exhausting ","Profits are not guaranteed and don’t get paid enough to provide benefits ",""
"2024/07/09 5:34:07 AM EST","FedEx Ground","Linehaul","Kansas","Interstate","Equal Mix of Both","0","2016-06-18","90% to 99%","3","Increased","Increased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","4","Hiring Drivers;Employee Management","76 to 100","Expanded","6 to 15","1 to 3","1 to 2","1 to 2","3","3","3","About the Same","About the Same","About the Same","3","4","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Increase","","","","","","",""
"2024/07/09 5:42:08 AM EST","","","","Rural","Mostly Residential","0","2020-03-10","100%","2","Remained Stable","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","4","Vehicle Maintenance & Repair;Employee Management","51 to 75","Remained Stable","6 to 15","0","1 to 2","1 to 2","2","2","2","About the Same","More Pessimistic","More Pessimistic","4","4","Contracted Rates","Fleet Costs","Labor Costs","Maintaining","Remain the same","I have low employee turnover in the past, but have had one driver move out of area and another planning to move. The costs associated with onboarding and ramping up new drivers could be what takes out ability to maintain a profitable business.","","Communication from corporate beyond the filtered down version that we receive. Do they value service partners or are shareholder expectations taking precedence.","The use of AI and sudden changes in expectations that do not include additional funding to train or enforce unknown challenges of importance to corporate.","After long thoughts, the relationship was more of a mutual team approach five years ago. I feel personally that my business partner has grown too close with a major customer and now treats us similarly to how that customer is known to treat its suppliers.","Biggest challenge is despite all the very well known increases due to inflation, including to suppliers of their goods, contractors continue to have reductions in the rates paid to provide additional duties to the contractor. Though profits continue to increase on one end, those profits are not passed through but rather are coming at our expense.",""
"2024/07/09 5:45:23 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Florida","Rural","Mostly Residential","2","2021-11-06","100%","2","Increased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Improved","3","Vehicle Maintenance & Repair","51 to 75","Reduced","6 to 15","0","1 to 2","1 to 2","3","2","2","More Pessimistic","About the Same","More Pessimistic","2","4","Contracted Rates","Contracted Rates","Contracted Rates","Maintaining","Remain the same","","","More transparency, higher contracted rates","No","Network 2.0 integration, 3 weeks away and there are still operational questions that I cannot get an answer for","",""
"2024/07/09 7:59:31 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","North Carolina","Suburban","Mostly Residential","0","2019-05-01","90% to 99%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases","4","Improved","5","Cube volume of freight. Unable to get enough stops in trucks. Truck size is limited because of mountainous road conditions. ","16 to 30","Remained Stable","6 to 15","0","1 to 2","1 to 2","2","2","2","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","","","Better contract rates","","","",""
"2024/07/09 10:38:31 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Kentucky","Suburban;Rural","Equal Mix of Both","1","2023-07-18","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Fedex Fines","4","Remained Stable","3","Hiring Drivers;Employee Management;Fedex","76 to 100","Remained Stable","6 to 15","0","1 to 2","1 to 2","4","2","1","More Pessimistic","More Pessimistic","More Pessimistic","2","1","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Increase","","","","","","",""
"2024/07/09 11:09:53 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Illinois","Suburban;Rural","Mostly Residential","0","2022-07-02","90% to 99%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.);Reduced compensation on FedEx contract renewals","4","Improved","3","Hiring Drivers;Route Optimization","76 to 100","Remained Stable","16 to 30","0","1 to 2","1 to 2","1","2","3","More Optimistic","About the Same","About the Same","1","1","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Increase","Reduced compensation on last contract renewal increased route capacities","We do not have to file bankruptcy","With district requirements, FedEx imposes on contractors and their drivers there has to be more compensation to offset those costs to succeed","We’re hoping moving forward FedEx is slowly increasing compensation after seeing the failure of so many ISP‘s nationwide","Last contract negotiation was a matter of accepting it within A short time frame of four weeks, Or FedEx will offer up negotiations to any other contractor willing to do it for that Contracted money, regardless of how much time or money I as an investor put in","FedEx doesn’t care anything about contractors. We are a dime a dozen in their minds. They continually push new policies and equipment requirements that we are forced to maintain, Cutting into our little margins , or jeopardize the contract that they have the right to change or terminate at any time. ",""
"2024/07/09 3:05:53 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Utah","Urban/City Center;Suburban","Equal Mix of Both","0","2020-07-01","90% to 99%","4","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases","5","Remained Stable","3","Massive increase in package size/weight","31 to 50","Remained Stable","6 to 15","0","1 to 2","0","3","3","3","About the Same","More Pessimistic","More Pessimistic","2","4","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Increase","Due to large package size we've had to reduce stop count (can't fit). We run an inefficient bulk truck to reduce cubic feet in other trucks. Th","Over three years accident free","1st, a fair (higher) contract, we've been operating paycheck to paycheck for three years!  2nd, eliminate efficiency as a medal metric (massive package sizes have got to be considered.  Every contract should be allotted bulk trucks w/o moving us into silver)","Package size!! It negatively impacts us by taking more cargo space, increasing chance of injuries, and causing an already diificult job to become harder which leads to lower driver retention.","Unanswered texts/emails/messages exemplifies poor communication","It's mentally rewarding owning your own business and employing people, but based on the work you do 7 days a week, it's not financially rewarding.  Only having a one-year at a time contract adds additional anxiety.  It is a difficult job, but there are good people in the industry.",""
"2024/07/09 8:15:53 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery;Express","Georgia","Urban/City Center;Suburban;Rural","Equal Mix of Both","6","2015-06-01","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Worsened","5","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Employee Management","16 to 30","Reduced","31 to 50","0","1 to 2","3 to 5","2","2","2","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Reducing","Decrease","","","","","","",""
"2024/07/10 3:58:59 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery;Custom Critical","Georgia","Urban/City Center;Suburban;Rural","Equal Mix of Both","3","2022-09-17","100%","2","Increased","Don't Know","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Federal, State, or Local Taxes;Fuel Expenses;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Remained Stable","4","Vehicle Maintenance & Repair;Quality of Professional Services","76 to 100","Expanded","76 to 100","1 to 3","6 to 8","3 to 5","3","3","4","More Optimistic","More Optimistic","More Optimistic","3","3","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Increase","Lack of quality mechanics ","","Adequate pay to work AND quality demand. ","2.0 Express will be a positive change with raise on the rates. ","Pick up proximity: servicing a federal nuclear  site. Only 2 known addresses on dro with 50 buildings however none show up on map due to security. Naturally pings the proximity alert. This is relayed to the terminal, yet each week the same question “why and what are doijg about this?”  ","Know the difference between Independent Service Provider vs. Contractor. ",""
"2024/07/11 11:37:47 AM EST","FedEx Ground","Linehaul","Kentucky","Interstate","Mostly Business","1","2019-02-04","100%","4","Increased","Increased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Improved","4","Hiring Drivers","31 to 50","Expanded","31 to 50","0","3 to 5","1 to 2","4","4","4","About the Same","About the Same","About the Same","4","4","Fleet Costs","Labor Costs","Economic Downturn","Expanding","Increase","Acquired 4 dedicated routes this past year and needed new trucks to service it, leased them through REL.","Achieve Tier 4 safety.","More opportunities to dialog with regional and district LH managers.","Worried about the impact of CARB on my business.","Recently was asked to participate in an AO TSP leadership group for my district.","Its extremely rewarding.","Suggest you split the survey between LH and P&D. LH faces different challenges than P&D."
"2024/07/11 12:13:04 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Oregon","Suburban;Rural","Mostly Residential","0","2001-03-01","100%","2","Remained Stable","Decreased","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability","101 to 140","Reduced","16 to 30","0","1 to 2","0","2","2","2","About the Same","More Pessimistic","More Pessimistic","4","2","Contracted Rates","Labor Costs","Overhead Costs","Maintaining","Increase","Labor cost, sadly no raises for drivers and they are not happy. running 53% labor","switching from protective and marsh for workers compensation saves us a good share of money. ","Look at the amount of business going under, listen to the struggling contractors, get boots on the ground! Ride alongs and see that 140 stops a route is not feasible in most rural suburban areas. Numbers are skewed for failure. Get real numbers with boots on the ground! Support your contractors so we can pay a reasonable wage! Help us get group discounts on trucks, gas and insurance etc. ","electric vehicle  push in my state.","","Challenges -FedEx - it's just a wall there. Reward running business effectively. ",""
"2024/07/11 4:09:38 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Tennessee","Rural","Mostly Residential","1","2024-01-01","100%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","1","Worsened","1","Hiring Drivers;Route Optimization;Employee Management","6 to 15","Expanded","6 to 15","0","1 to 2","3 to 5","1","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Labor Costs","Contracted Rates","Contract Partner","Reducing","Increase","","","","","","",""
"2024/07/11 7:35:26 PM EST","","","","Rural","Mostly Residential","1","2020-09-01","100%","1","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Worsened","5","Hiring Drivers;Employee Management;Poaching of drivers in terminals and open CSA ","16 to 30","Expanded","51 to 75","0","3 to 5","1 to 2","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","3","Contracted Rates","Labor Costs","Overhead Costs","Reducing","Remain the same","Poaching of drivers and wage wars within terminals once contractors start failing. No success so far.","None","To have FedEx be more open and willing to resolve issues.","Poaching and wages wars are going to be a main concern.","FedEx continues to not communicate in the most basic fashion unless it benefits them.","How easily you can lose the business. Completely unstable business model with the contracts being not profitable and the driver poaching.",""
"2024/07/12 9:01:01 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Pennsylvania","Suburban","Equal Mix of Both","0","2021-04-01","50% to 59%","3","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Worsened","4","Package sizes/ unreliable package projections","101 to 140","Remained Stable","16 to 30","0","1 to 2","1 to 2","3","3","3","About the Same","More Pessimistic","About the Same","4","2","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Remain the same","Constant changes of policy/ expectations ","Gold status","Stop changing policies/expectations ","Increasing package sizes and weights ","One way conversations, not two way","Risk/ reward imbalance",""
