"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based? ","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/01/04 7:28:27 AM EST","","","","","","1","2019-01-07","100%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","","","","","76 to 100","Remained Stable","16 to 30","0","1 to 2","0","","","","","","","","1","Contracted Rates","Labor Costs","Contract Partner","Reducing","Remain the same","","","","","","",""
"2024/01/04 11:53:52 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Utah","Urban/City Center","Mostly Residential","0","2020-08-01","100%","3","Increased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Fuel Expenses;Pay and Salary Increases","4","Worsened","3","Hiring Drivers;Route Optimization","1 to 5","Remained Stable","1 to 5","0","1 to 2","0","4","4","3","More Pessimistic","About the Same","More Pessimistic","4","3","Contracted Rates","Labor Costs","Economic Downturn","Maintaining","Decrease","","","More fair pay. They are making a killing on express and we are taking it over for super cheap rates","Express integration is going to make us more inefficent","","We make cents on the dollar compared to fedex","Hope it helps get us more money"
"2024/01/04 3:51:07 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","New York","Urban/City Center;Suburban","Equal Mix of Both","0","2019-04-01","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Worsened","2","Route Optimization;Never get right numbers ","51 to 75","Remained Stable","6 to 15","1 to 3","1 to 2","0","3","2","2","More Pessimistic","More Pessimistic","More Pessimistic","2","2","Contracted Rates","Labor Costs","Overhead Costs","Maintaining","Remain the same","","","Honestly. True Partner ship","","","",""
"2024/01/05 5:10:36 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Florida","Urban/City Center;Suburban","Equal Mix of Both","2","2017-10-01","100%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases","4","Improved","5","Hiring Drivers;Quality of Vendor Services;Dramatic increases in administrative costs driven by FedEx","76 to 100","Reduced","16 to 30","0","3 to 5","3 to 5","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Reducing","Remain the same","Contract pricing - moved to 50% stops in AVPs","Fully trained 2 new successful contractors","FedEx must address it's high internal organization and overhead cost issues, and stop making the quarter financials by reducing contracted prices  ","Amazon and UPS, and probably other smaller logistics companies, will continue to take share from FedEx because they are more efficient and changing more rapidly for the future","Negotiation... pricing way off target ... after numerous submittals, corporate agreed that the regional engineering was busy and did a poor job, had to be redone/restarted","I don't want them to know, I need to sell","do something useful with it"
"2024/01/05 2:03:28 PM EST","","","","","","0","2023-07-22","100%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","","","","","101 to 140","Reduced","16 to 30","0","1 to 2","1 to 2","1","1","1","About the Same","About the Same","More Pessimistic","2","2","Contracted Rates","Labor Costs","Fleet Costs","Reducing","Remain the same","","","","","","",""
"2024/01/05 3:27:37 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery;Linehaul","North Carolina","Suburban;Interstate","Mostly Residential","2","2022-03-01","100%","2","Remained Stable","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","3","Vehicle Maintenance & Repair;Equipment Reliability","6 to 15","Expanded","16 to 30","0","1 to 2","0","3","2","3","More Pessimistic","More Pessimistic","More Pessimistic","2","3","Contracted Rates","Fleet Costs","Market Erosion","Maintaining","Decrease","Price of tires and fuel","Had an excellent PEAK from all standpoints","Treat is like partners, not enemies","nothing positive","It is the Flavor of the Week what FedEx wants to manage or change rules","Don't do it.  It's not what it once was.  RUN RUN RUN",""
"2024/01/05 10:31:39 PM EST","","","","","Mostly Residential","1","2018-11-12","","","","","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Pay and Salary Increases","","","","","16 to 30","Expanded","16 to 30","0","3 to 5","0","","","","","","","","3","Contract Partner","Market Erosion","Economic Downturn","Expanding","Remain the same","","","","","","",""
"2024/01/06 2:07:51 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Iowa","Urban/City Center","Equal Mix of Both","0","2014-01-06","100%","2","Decreased","Decreased","Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","6 to 15","Reduced","6 to 15","0","0","0","2","3","2","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Reducing","Decrease","","","Ask us what our business cost have increased by. 
","Yes labor competitiveness.
","","",""
"2024/01/06 2:59:15 PM EST","","","","","","1","2009-04-01","90% to 99%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","","","","","31 to 50","Remained Stable","31 to 50","0","3 to 5","1 to 2","3","3","3","More Pessimistic","About the Same","About the Same","3","3","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Remain the same","","","","","","",""
"2024/01/06 3:19:48 PM EST","","","","Suburban","Equal Mix of Both","0","2021-08-01","100%","1","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","","","","","16 to 30","Expanded","16 to 30","1 to 3","1 to 2","1 to 2","1","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Fleet Costs","Labor Costs","Maintaining","Decrease","Contract negotiations never take into account special circumstances.  ","","","","","",""
"2024/01/06 5:50:01 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Michigan","Urban/City Center","Equal Mix of Both","0","","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","16 to 30","Remained Stable","31 to 50","0","3 to 5","1 to 2","","","","","","","","1","Contracted Rates","Labor Costs","Contract Partner","","Decrease","","","Better Pay","","","",""
"2024/01/06 9:01:33 PM EST","","","","","","5","0012-08-01","","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","5","Vehicle Maintenance & Repair;Fuel","16 to 30","Reduced","16 to 30","0","3 to 5","1 to 2","2","2","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Economic Downturn","Overhead Costs","Contracted Rates","Reducing","Decrease","Sunday specifically is a challenge because we do not have enough freight to actually run seven days a week. Consequently it is a payroll burden.","We have been able to survive, due to lack of volume for a seven day work week","Get rid of this ridiculous Sunday service. We do not have enough volume even in the metro areas to continue the service.","FedEx is in a fight with Amazon and it looks like they are winning","When I started this venture, I thought it was a partnership, our terminal makes it us versus them","The rewards are investing a lot of your money, and not getting any return on your investment, negotiations are not a negotiation!",""
"2024/01/06 9:11:20 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","North Carolina","Suburban","Mostly Residential","1","2006-03-17","100%","4","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair","6 to 15","Expanded","6 to 15","1 to 3","1 to 2","1 to 2","5","5","5","About the Same","About the Same","More Pessimistic","5","3","Contracted Rates","Labor Costs","Contract Partner","Expanding","Increase","Labor costs are through the roof with no help from FedEx. I’ve changed my schedule around and offered unlimited days off without pay.","We were in the first class of Gold contractors and continue to stay gold.","That FedEx would listen to contractors more. ","Express integration hoping for the best. ","18 years of business together.","That we take all the risk with very little reward.","Hope it makes a difference "
"2024/01/06 9:24:57 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Michigan","Urban/City Center;Suburban;Rural","Mostly Residential","0","2019-11-01","100%","3","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Equipment Reliability","101 to 140","Remained Stable","16 to 30","1 to 3","3 to 5","0","4","3","4","More Pessimistic","About the Same","More Pessimistic","3","2","Contracted Rates","Economic Downturn","Overhead Costs","Maintaining","Remain the same","Keeping qualified drivers.

Hired a  recruiting company to find new employees.","Highest performing peak season as a company.","FedEx to understand that wages, repairs, vehicle purchase costs, insurance and fuel are not what they were 10 years ago, and to bring more money to the table so we can survive as a partner to FedEx.","No","","Financially and emotionally stressful. Can cause strains on personal relationships/marriages. Rewards…. You can say you own your own company.",""
"2024/01/06 9:47:01 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","North Carolina","Suburban","Mostly Residential","0","","100%","3","Decreased","Decreased","Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Improved","4","Hiring Drivers","31 to 50","Remained Stable","6 to 15","0","1 to 2","1 to 2","","","","","","","","2","Contracted Rates","Labor Costs","Contract Partner","Reducing","Increase","","","","","","",""
"2024/01/06 10:02:05 PM EST","FedEx Ground","Linehaul","Kentucky","Interstate","","0","2014-10-01","100%","2","Increased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","2","Improved","3","Vehicle Maintenance & Repair;Employee Management;Quality of Vendor Services","76 to 100","Expanded","16 to 30","0","1 to 2","0","2","2","3","More Pessimistic","About the Same","More Pessimistic","3","4","Contracted Rates","Labor Costs","Contract Partner","Expanding","Increase","Cut down on maintenance costs buy acquiring a service truck and hiring mechanic","2M miles last year","Team wait times are ridiculous","California making everyone go all electric too fast is scary","They are in it for themselves.","The hours are long, the pay is not.",""
"2024/01/06 10:21:29 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Texas","Suburban","Mostly Residential","2","2020-04-25","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Worsened","2","Hiring Drivers;Route Optimization;Employee Management","51 to 75","Remained Stable","51 to 75","1 to 3","3 to 5","1 to 2","","","","","","","","3","Contracted Rates","Labor Costs","Contract Partner","Reducing","Increase","","","","","","",""
"2024/01/06 10:59:24 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Tennessee","Rural","Mostly Residential","0","2020-10-17","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","1 to 5","Remained Stable","1 to 5","0","1 to 2","0","3","3","3","About the Same","About the Same","About the Same","4","4","Contracted Rates","Labor Costs","Fleet Costs","Maintaining","Remain the same","","Gold Status","Pay more money ","","","",""
"2024/01/07 1:51:11 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Oregon","Suburban","Mostly Residential","0","2014-01-02","100%","1","Decreased","Decreased","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","4","Route Optimization;Employee Management","31 to 50","Expanded","6 to 15","0","1 to 2","1 to 2","3","2","2","More Optimistic","More Pessimistic","About the Same","5","3","Contracted Rates","Economic Downturn","Contract Partner","Maintaining","Remain the same","Contract failing to cover expenses. We’ve shopped and switched vendors for lower rates.","Gold medal status in all but one month. Top five in district for PPOD quality. Top 3% company wide in customer satisfaction. ","Increase contract value. ","Merging Ground and Express will increase volume but remains to be seen if it is positive or negative for profitability. ","Our station management is great. Engineering either doesn’t understand or doesn’t care how cubic feet of packages and bulk cargo is impacting our efficiency and profitability. ","How important it is that their address is clearly displayed and accessible. ","I hope this isn’t all for nothing. "
"2024/01/07 6:19:42 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Iowa","Rural","Mostly Residential","0","2002-08-01","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability","51 to 75","Reduced","16 to 30","1 to 3","1 to 2","0","2","2","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Economic Downturn","Reducing","Decrease","Company seems to be clueless on sa daily basis when it comes to package count the night before ","None","Be honest and recognize our challenges when presented, lack of interest in our well being ","War","","Companies lie and take your money without real appeal process, outright thievery ",""
"2024/01/07 8:38:25 AM EST","","","","","","1","2021-04-20","100%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","76 to 100","Expanded","16 to 30","1 to 3","1 to 2","1 to 2","","","","","","","","1","Contracted Rates","Contract Partner","Overhead Costs","Maintaining","Remain the same","Pay we get less and less for pay while inflation and wages go up.  26% less pay than before pandemic. ","","Pay and be a partner not a dictatorship","","Terrible","Don’t do it",""
